"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
226942,"Data Analyst","Anywhere","Full-time","650000.0","2023-02-20","Mantys"
209315,"Data base administrator","Belarus","Full-time","400000.0","2023-10-03","AT&T"
1110602,"HC Data Analyst , Senior","Bethesda, MD","Full-time","375000.0","2023-08-18","Illuminate Mission Solutions"
641501,"Head of Infrastructure Management & Data Analytics - Financial...","Jacksonville, FL","Full-time","375000.0","2023-07-03","Citigroup, Inc"
229253,"Director of Safety Data Analysis","Austin, TX","Full-time","375000.0","2023-04-21","Torc Robotics"
